Country_Region,Deaths,Confirmed,Incident_Rate,Case_Fatality_Ratio
Afghanistan,7896,209451,538.0424508714615,3.76985547932452
Albania,3598,334457,11621.96817012996,1.075773567304616
Algeria,6881,271496,619.132365905185,2.534475646050034
Andorra,165,47890,61981.49226687375,0.34453956984756734
Angola,1933,105288,320.35277020195906,1.835916723653218
Antarctica,0,11,,0.0
Antigua and Barbuda,146,9106,9298.668409443671,1.6033384581594552
Argentina,130472,10044957,22225.43269916568,1.2988806223859395
Armenia,8727,447308,15095.264160710898,1.9510046768669462
Australia,228,232974,54420.46250875964,0.09786499781091453
Australia,6529,3915992,48238.38383838384,0.1667265918827209
Australia,91,105111,42797.63843648208,0.08657514437118856
Australia,2783,1800236,35191.78965887988,0.15459084253397887
Australia,1365,883620,50305.72160546541,0.15447816934881511
Australia,256,287507,53689.44911297853,0.08904131029853186
Australia,7370,2880559,43448.00072399282,0.25585311739839384
Australia,952,1293461,49169.80916901087,0.07360098217108982
Austria,21970,5961143,66187.85530289572,0.36855348043152125
Azerbaijan,10138,828825,8174.481651613667,1.2231773896781588
Bahamas,833,37491,9533.678492961184,2.2218665813128484
Bahrain,1553,710693,41766.57853304834,0.21851910740643288
Bangladesh,29445,2037871,1237.402777809909,1.4448902801011447
Barbados,579,106798,37163.80567280624,0.5421449839884642
Belarus,7118,994037,10519.665910386577,0.7160699249625517
Belgium,0,766206,41238.52386401189,0.0
Belgium,0,505467,41824.5290606367,0.0
Belgium,0,645338,42594.7682738155,0.0
Belgium,0,464722,40545.46644273344,0.0
Belgium,0,519111,38617.40565865793,0.0
Belgium,0,419029,37852.93841328573,0.0
Belgium,0,351474,40212.20802518855,0.0
Belgium,0,122942,43192.4057926208,0.0
Belgium,0,202905,41046.88211197087,0.0
Belgium,33814,63364,,53.36468657281737
Belgium,0,173827,43069.23456202815,0.0
Belgium,0,504980,42229.611070784646,0.0
Belize,688,70757,17795.086275624275,0.9723419590994531
Benin,163,27999,230.95391166588223,0.5821636487017393
Bhutan,21,62627,8116.384918845223,0.03353186325386814
Bolivia,22365,1194277,10231.080553299404,1.8726811284149323
Bosnia and Herzegovina,16280,401729,12244.79283348802,4.052483141620346
Botswana,2801,329758,14022.558868867272,0.8494107800265649
Brazil,2043,160433,18191.02314796442,1.2734287833550455
Brazil,7242,337535,10113.841581826577,2.1455552757491816
Brazil,2167,185668,21953.552607152866,1.1671370403085077
Brazil,14443,631976,15248.189389704234,2.2853715963897363
Brazil,31459,1792572,12052.4728462138,1.7549643752105912
Brazil,28157,1453572,15917.209642756008,1.9370901475812687
Brazil,11844,897897,29778.34806060357,1.3190822555371051
Brazil,15041,1323318,32929.41659512523,1.1366126660409668
Brazil,28036,1898605,27051.9982320641,1.4766631289815417
