,team_1,team_2,score,date,time,staduim,Year
296,Italy,West Germany,0–0,14-06-1978,13:45,"River Plate Stadium, Buenos Aires",1978
297,Netherlands,West Germany,2–2,18-06-1978,16:45,"Olympic Stadium, Córdoba",1978
298,Italy,Austria,1–0,18-06-1978,16:45,"River Plate Stadium, Buenos Aires",1978
299,Austria,West Germany,3–2,21-06-1978,13:45,"Olympic Stadium, Córdoba",1978
300,Italy,Netherlands,1–2,21-06-1978,13:45,"River Plate Stadium, Buenos Aires",1978
301,Brazil,Peru,3–0,14-06-1978,16:45,"Mendoza City Stadium, Mendoza",1978
302,Argentina,Poland,2–0,14-06-1978,19:15,"Rosario Central Stadium, Rosario",1978
303,Peru,Poland,0–1,18-06-1978,13:45,"Mendoza City Stadium, Mendoza",1978
304,Argentina,Brazil,0–0,18-06-1978,19:15,"Rosario Central Stadium, Rosario",1978
305,Brazil,Poland,3–1,21-06-1978,16:45,"Mendoza City Stadium, Mendoza",1978
306,Argentina,Peru,6–0,21-06-1978,19:15,"Rosario Central Stadium, Rosario",1978
307,Brazil,Italy,2–1,24-06-1978,15:00,"River Plate Stadium, Buenos Aires",1978
308,Argentina,Netherlands,3–1 P,25-06-1978,15:00,"River Plate Stadium, Buenos Aires",1978
309,Italy,Poland,0–0,14-06-1982,17:15,"Balaídos, Vigo",1982
310,Peru,Cameroon,0–0,15-06-1982,17:15,"Estadio de Riazor, A Coruña",1982
311,Italy,Peru,1–1,18-06-1982,17:15,"Balaídos, Vigo",1982
312,Poland,Cameroon,0–0,19-06-1982,17:15,"Estadio de Riazor, A Coruña",1982
313,Poland,Peru,5–1,22-06-1982,17:15,"Estadio de Riazor, A Coruña",1982
314,Italy,Cameroon,1–1,23-06-1982,17:15,"Balaídos, Vigo",1982
315,West Germany,Algeria,1–2,16-06-1982,17:15,"El Molinón, Gijón",1982
316,Chile,Austria,0–1,17-06-1982,17:15,"Estadio Carlos Tartiere, Oviedo",1982
317,West Germany,Chile,4–1,20-06-1982,17:15,"El Molinón, Gijón",1982
318,Algeria,Austria,0–2,21-06-1982,17:15,"Estadio Carlos Tartiere, Oviedo",1982
319,Algeria,Chile,3–2,24-06-1982,17:15,"Estadio Carlos Tartiere, Oviedo",1982
320,West Germany,Austria,1–0,25-06-1982,17:15,"El Molinón, Gijón",1982
321,Argentina,Belgium,0–1,13-06-1982,20:00,"Camp Nou, Barcelona",1982
322,Hungary,El Salvador,10–1,15-06-1982,21:00,"Nuevo Estadio, Elche",1982
323,Argentina,Hungary,4–1,18-06-1982,21:00,"Estadio José Rico Pérez, Alicante",1982
324,Belgium,El Salvador,1–0,19-06-1982,21:00,"Nuevo Estadio, Elche",1982
325,Belgium,Hungary,1–1,22-06-1982,21:00,"Nuevo Estadio, Elche",1982
326,Argentina,El Salvador,2–0,23-06-1982,21:00,"Estadio José Rico Pérez, Alicante",1982
327,England,France,3–1,16-06-1982,17:15,"San Mamés, Bilbao",1982
328,Czechoslovakia,Kuwait,1–1,17-06-1982,17:15,"Estadio José Zorrilla, Valladolid",1982
329,England,Czechoslovakia,2–0,20-06-1982,17:15,"San Mamés, Bilbao",1982
330,France,Kuwait,4–1,21-06-1982,17:15,"Estadio José Zorrilla, Valladolid",1982
331,France,Czechoslovakia,1–1,24-06-1982,17:15,"Estadio José Zorrilla, Valladolid",1982
332,England,Kuwait,1–0,25-06-1982,17:15,"San Mamés, Bilbao",1982
333,Spain,Honduras,1–1,16-06-1982,21:00,"Estadio Luis Casanova, Valencia",1982
334,Yugoslavia,Northern Ireland,0–0,17-06-1982,21:00,"La Romareda, Zaragoza",1982
335,Spain,Yugoslavia,2–1,20-06-1982,21:00,"Estadio Luis Casanova, Valencia",1982
336,Honduras,Northern Ireland,1–1,21-06-1982,21:00,"La Romareda, Zaragoza",1982
337,Honduras,Yugoslavia,0–1,24-06-1982,21:00,"La Romareda, Zaragoza",1982
338,Spain,Northern Ireland,0–1,25-06-1982,21:00,"Estadio Luis Casanova, Valencia",1982
339,Brazil,Soviet Union,2–1,14-06-1982,21:00,"Ramón Sánchez Pizjuán, Seville",1982
340,Scotland,New Zealand,5–2,15-06-1982,21:00,"La Rosaleda Stadium, Málaga",1982
341,Brazil,Scotland,4–1,18-06-1982,21:00,"Estadio Benito Villamarín, Seville",1982
342,Soviet Union,New Zealand,3–0,19-06-1982,21:00,"La Rosaleda Stadium, Málaga",1982
343,Soviet Union,Scotland,2–2,22-06-1982,21:00,"La Rosaleda Stadium, Málaga",1982
344,Brazil,New Zealand,4–0,23-06-1982,21:00,"Estadio Benito Villamarín, Seville",1982
345,Poland,Belgium,3–0,28-06-1982,21:00,"Camp Nou, Barcelona",1982
346,Belgium,Soviet Union,0–1,1-07-1982,21:00,"Camp Nou, Barcelona",1982
347,Soviet Union,Poland,0–0,4-07-1982,21:00,"Camp Nou, Barcelona",1982
348,West Germany,England,0–0,29-06-1982,21:00,"Santiago Bernabéu, Madrid",1982
349,West Germany,Spain,2–1,2-07-1982,21:00,"Santiago Bernabéu, Madrid",1982
350,Spain,England,0–0,5-07-1982,21:00,"Santiago Bernabéu, Madrid",1982
351,Italy,Argentina,2–1,29-06-1982,17:15,"Sarrià Stadium, Barcelona",1982
352,Argentina,Brazil,1–3,2-07-1982,17:15,"Sarrià Stadium, Barcelona",1982
353,Italy,Brazil,3–2,5-07-1982,17:15,"Sarrià Stadium, Barcelona",1982
354,Austria,France,0–1,28-06-1982,17:15,"Vicente Calderón, Madrid",1982
355,Austria,Northern Ireland,2–2,1-07-1982,17:15,"Vicente Calderón, Madrid",1982
356,France,Northern Ireland,4–1,4-07-1982,17:15,"Vicente Calderón, Madrid",1982
357,Poland,Italy,0–2,8-07-1982,17:15,"Camp Nou, Barcelona",1982
358,West Germany,France,3–3 P,8-07-1982,21:00,"Ramón Sánchez Pizjuán Stadium, Seville",1982
359,Poland,France,3–2,10-07-1982,20:00,"Estadio José Rico Pérez, Alicante",1982
360,Italy,West Germany,3–1,11-07-1982,20:00,"Santiago Bernabéu, Madrid",1982
361,Bulgaria,Italy,1–1,31-05-1986,12:00,"Estadio Azteca, Mexico City",1986
362,Argentina,South Korea,3–1,2-06-1986,12:00,"Estadio Olímpico Universitario, Mexico City",1986
363,Italy,Argentina,1–1,5-06-1986,12:00,"Estadio Cuauhtémoc, Puebla",1986
364,South Korea,Bulgaria,1–1,5-06-1986,16:00,"Estadio Olímpico Universitario, Mexico City",1986
365,South Korea,Italy,2–3,10-06-1986,12:00,"Estadio Cuauhtémoc, Puebla",1986
366,Argentina,Bulgaria,2–0,10-06-1986,12:00,"Estadio Olímpico Universitario, Mexico City",1986
367,Belgium,Mexico,1–2,3-06-1986,12:00,"Estadio Azteca, Mexico City",1986
368,Paraguay,Iraq,1–0,4-06-1986,12:00,"Estadio Nemesio Díez, Toluca",1986
369,Mexico,Paraguay,1–1,7-06-1986,12:00,"Estadio Azteca, Mexico City",1986
370,Iraq,Belgium,1–2,8-06-1986,12:00,"Estadio Nemesio Díez, Toluca",1986
371,Paraguay,Belgium,2–2,11-06-1986,12:00,"Estadio Nemesio Díez, Toluca",1986
372,Iraq,Mexico,0–1,11-06-1986,12:00,"Estadio Azteca, Mexico City",1986
373,Canada,France,0–1,1-06-1986,16:00,"Estadio Nou Camp, León",1986
374,Soviet Union,Hungary,6–0,2-06-1986,12:00,"Estadio Sergio León Chavez, Irapuato",1986
375,France,Soviet Union,1–1,5-06-1986,12:00,"Estadio Nou Camp, León",1986
376,Hungary,Canada,2–0,6-06-1986,12:00,"Estadio Sergio León Chavez, Irapuato",1986
377,Hungary,France,0–3,9-06-1986,12:00,"Estadio Nou Camp, León",1986
378,Soviet Union,Canada,2–0,9-06-1986,12:00,"Estadio Sergio León Chavez, Irapuato",1986
379,Spain,Brazil,0–1,1-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
380,Algeria,Northern Ireland,1–1,3-06-1986,12:00,"Estadio Tres de Marzo, Zapopan",1986
381,Brazil,Algeria,1–0,6-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
382,Northern Ireland,Spain,1–2,7-06-1986,12:00,"Estadio Tres de Marzo, Zapopan",1986
383,Northern Ireland,Brazil,0–3,12-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
384,Algeria,Spain,0–3,12-06-1986,12:00,"Estadio Tecnológico, Monterrey",1986
385,Uruguay,West Germany,1–1,4-06-1986,12:00,"Estadio La Corregidora, Querétaro",1986
386,Scotland,Denmark,0–1,4-06-1986,16:00,"Estadio Neza 86, Nezahualcóyotl",1986
387,West Germany,Scotland,2–1,8-06-1986,12:00,"Estadio La Corregidora, Querétaro",1986
388,Denmark,Uruguay,6–1,8-06-1986,16:00,"Estadio Neza 86, Nezahualcóyotl",1986
389,Denmark,West Germany,2–0,13-06-1986,12:00,"Estadio La Corregidora, Querétaro",1986
390,Scotland,Uruguay,0–0,13-06-1986,12:00,"Estadio Neza 86, Nezahualcóyotl",1986
391,Morocco,Poland,0–0,2-06-1986,16:00,"Estadio Universitario, Monterrey",1986
392,Portugal,England,1–0,3-06-1986,16:00,"Estadio Tecnológico, Monterrey",1986
393,England,Morocco,0–0,6-06-1986,16:00,"Estadio Tecnológico, Monterrey",1986
394,Poland,Portugal,1–0,7-06-1986,16:00,"Estadio Universitario, Monterrey",1986
395,England,Poland,3–0,11-06-1986,16:00,"Estadio Universitario, Monterrey",1986
396,Portugal,Morocco,1–3,11-06-1986,16:00,"Estadio Tres de Marzo, Zapopan",1986
397,Mexico,Bulgaria,2–0,15-06-1986,12:00,"Estadio Azteca, Mexico City",1986
398,Soviet Union,Belgium,3–4 P,15-06-1986,16:00,"Estadio Nou Camp, León",1986
399,Brazil,Poland,4–0,16-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
400,Argentina,Uruguay,1–0,16-06-1986,16:00,"Estadio Cuauhtémoc, Puebla",1986
401,Italy,France,0–2,17-06-1986,12:00,"Estadio Olímpico Universitario, Mexico City",1986
402,Morocco,West Germany,0–1,17-06-1986,16:00,"Estadio Universitario, San Nicolás de los Garza",1986
403,England,Paraguay,3–0,18-06-1986,12:00,"Estadio Azteca, Mexico City",1986
404,Denmark,Spain,1–5,18-06-1986,16:00,"Estadio La Corregidora, Querétaro",1986
405,Brazil,France,1–1 P,21-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
406,West Germany,Mexico,0–0 P,21-06-1986,16:00,"Estadio Universitario, San Nicolás de los Garza",1986
407,Argentina,England,2–1,22-06-1986,12:00,"Estadio Azteca, Mexico City",1986
408,Spain,Belgium,1–1 P,22-06-1986,16:00,"Estadio Cuauhtémoc, Puebla",1986
409,France,West Germany,0–2,25-06-1986,12:00,"Estadio Jalisco, Guadalajara",1986
410,Argentina,Belgium,2–0,25-06-1986,16:00,"Estadio Azteca, Mexico City",1986
411,Belgium,France,2–4 P,28-06-1986,12:00,"Estadio Cuauhtémoc, Puebla",1986
412,Argentina,West Germany,3–2,29-06-1986,12:00,"Estadio Azteca, Mexico City",1986
413,Cameroon,Colombia,2–1 P,23-06-1990,17:00,"Stadio San Paolo, Naples",1990
414,Czechoslovakia,Costa Rica,4–1,23-06-1990,21:00,"Stadio San Nicola, Bari",1990
415,Brazil,Argentina,0–1,24-06-1990,17:00,"Stadio Delle Alpi, Turin",1990
416,West Germany,Netherlands,2–1,24-06-1990,21:00,"San Siro, Milan",1990
417,Republic of Ireland,Romania,0–0 P,25-06-1990,17:00,"Stadio Luigi Ferraris, Genoa",1990
418,Italy,Uruguay,2–0,25-06-1990,21:00,"Stadio Olimpico, Rome",1990
419,Spain,Yugoslavia,1–2 P,26-06-1990,17:00,"Stadio Marc'Antonio Bentegodi, Verona",1990
420,England,Belgium,1–0 P,26-06-1990,21:00,"Stadio Renato Dall'Ara, Bologna",1990
421,Argentina,Yugoslavia,0–0 P,30-06-1990,17:00,"Stadio Comunale, Florence",1990
422,Republic of Ireland,Italy,0–1,30-06-1990,21:00,"Stadio Olimpico, Rome",1990
423,Czechoslovakia,West Germany,0–1,1-07-1990,17:00,"San Siro, Milan",1990
424,Cameroon,England,2–3 P,1-07-1990,21:00,"Stadio San Paolo, Naples",1990
425,Argentina,Italy,1–1 P,3-07-1990,20:00,"Stadio San Paolo, Naples",1990
426,West Germany,England,1–1 P,4-07-1990,20:00,"Stadio delle Alpi, Turin",1990
427,Italy,England,2–1,7-07-1990,20:00,"Stadio San Nicola, Bari",1990
428,West Germany,Argentina,1–0,8-07-1990,20:00,"Stadio Olimpico, Rome",1990
429,United States,Switzerland,1–1,"06-18,-1994",11:30,"Pontiac Silverdome, Pontiac",1994
430,Colombia,Romania,1–3,"06-18,-1994",,"Rose Bowl, Pasadena",1994
431,Romania,Switzerland,1–4,"06-22,-1994",,"Pontiac Silverdome, Pontiac",1994
432,United States,Colombia,2–1,"06-22,-1994",,"Rose Bowl, Pasadena",1994
433,Switzerland,Colombia,0–2,"06-26,-1994",,"Stanford Stadium, Stanford",1994
434,United States,Romania,0–1,"06-26,-1994",,"Rose Bowl, Pasadena",1994
435,Cameroon,Sweden,2–2,"06-19,-1994",,"Rose Bowl, Pasadena",1994
436,Brazil,Russia,2–0,"06-20,-1994",,"Stanford Stadium, Stanford",1994
437,Brazil,Cameroon,3–0,"06-24,-1994",,"Stanford Stadium, Stanford",1994
438,Sweden,Russia,3–1,"06-24,-1994",,"Pontiac Silverdome, Pontiac",1994
439,Russia,Cameroon,6–1,"06-28,-1994",,"Stanford Stadium, Stanford",1994
440,Brazil,Sweden,1–1,"06-28,-1994",,"Pontiac Silverdome, Pontiac",1994
441,Germany,Bolivia,1–0,"06-17,-1994",,"Soldier Field, Chicago",1994
442,Spain,South Korea,2–2,"06-17,-1994",,"Cotton Bowl, Dallas",1994
443,Germany,Spain,1–1,"06-21,-1994",,"Soldier Field, Chicago",1994
444,South Korea,Bolivia,0–0,"06-23,-1994",,"Foxboro Stadium, Foxborough",1994
445,Bolivia,Spain,1–3,"06-27,-1994",,"Soldier Field, Chicago",1994
446,Germany,South Korea,3–2,"06-27,-1994",,"Cotton Bowl, Dallas",1994
447,Argentina,Greece,4–0,"06-21,-1994",12:30,"Foxboro Stadium, Foxborough",1994
448,Nigeria,Bulgaria,3–0,"06-21,-1994",,"Cotton Bowl, Dallas",1994
449,Argentina,Nigeria,2–1,"06-25,-1994",,"Foxboro Stadium, Foxborough",1994
450,Bulgaria,Greece,4–0,"06-26,-1994",11:30,"Soldier Field, Chicago",1994
451,Argentina,Bulgaria,0–2,"06-30,-1994",,"Cotton Bowl, Dallas",1994
452,Greece,Nigeria,0–2,"06-30,-1994",,"Foxboro Stadium, Foxborough",1994
453,Italy,Republic of Ireland,0–1,"06-18,-1994",,"Giants Stadium, East Rutherford",1994
454,Norway,Mexico,1–0,"06-19,-1994",,"RFK Stadium, Washington",1994
455,Italy,Norway,1–0,"06-23,-1994",,"Giants Stadium, East Rutherford",1994
456,Mexico,Republic of Ireland,2–1,"06-24,-1994",12:30,"Citrus Bowl, Orlando",1994
457,Italy,Mexico,1–1,"06-28,-1994",12:30,"RFK Stadium, Washington",1994
458,Republic of Ireland,Norway,0–0,"06-28,-1994",12:30,"Giants Stadium, East Rutherford",1994
459,Belgium,Morocco,1–0,"06-19,-1994",12:30,"Citrus Bowl, Orlando",1994
460,Netherlands,Saudi Arabia,2–1,"06-20,-1994",,"RFK Stadium, Washington",1994
461,Belgium,Netherlands,1–0,"06-25,-1994",12:30,"Citrus Bowl, Orlando",1994
462,Saudi Arabia,Morocco,2–1,"06-25,-1994",12:30,"Giants Stadium, East Rutherford",1994
463,Belgium,Saudi Arabia,0–1,"06-29,-1994",12:30,"RFK Stadium, Washington",1994
464,Morocco,Netherlands,1–2,"06-29,-1994",12:30,"Citrus Bowl, Orlando",1994
465,Germany,Belgium,3–2,"07-2,-1994",12:00,"Soldier Field, Chicago",1994
466,Spain,Switzerland,3–0,"07-2,-1994",,"RFK Stadium, Washington, D.C.",1994
467,Saudi Arabia,Sweden,1–3,"07-3,-1994",12:00,"Cotton Bowl, Dallas",1994
468,Romania,Argentina,3–2,"07-3,-1994",,"Rose Bowl, Pasadena",1994
469,Netherlands,Republic of Ireland,2–0,"07-4,-1994",12:00,"Citrus Bowl, Orlando",1994
470,Brazil,United States,1–0,"07-4,-1994",12:30,"Stanford Stadium, Stanford",1994
471,Nigeria,Italy,1–2 P,"07-5,-1994",,"Foxboro Stadium, Foxborough",1994
472,Mexico,Bulgaria,1–1 P,"07-5,-1994",,"Giants Stadium, East Rutherford",1994
473,Italy,Spain,2–1,"07-9,-1994",12:00,"Foxboro Stadium, Foxborough",1994
474,Netherlands,Brazil,2–3,"07-9,-1994",,"Cotton Bowl, Dallas",1994
475,Bulgaria,Germany,2–1,"07-10,-1994",12:00,"Giants Stadium, East Rutherford",1994
476,Romania,Sweden,2–2 P,"07-10,-1994",12:30,"Stanford Stadium, Stanford",1994
477,Bulgaria,Italy,1–2,"07-13,-1994",,"Giants Stadium, East Rutherford",1994
478,Sweden,Brazil,0–1,"07-13,-1994",,"Rose Bowl, Pasadena",1994
479,Sweden,Bulgaria,4–0,"07-16,-1994",12:30,"Rose Bowl, Pasadena",1994
480,Brazil,Italy,0–0 P,"07-17,-1994",12:30,"Rose Bowl, Pasadena",1994
481,Brazil,Scotland,2–1,10-06-1998,17:30,"Stade de France, Saint-Denis",1998
482,Morocco,Norway,2–2,10-06-1998,21:00,"Stade de la Mosson, Montpellier",1998
483,Scotland,Norway,1–1,16-06-1998,17:30,"Parc Lescure, Bordeaux",1998
484,Brazil,Morocco,3–0,16-06-1998,21:00,"Stade de la Beaujoire, Nantes",1998
485,Scotland,Morocco,0–3,23-06-1998,21:00,"Stade Geoffroy-Guichard, Saint-Étienne",1998
486,Brazil,Norway,1–2,23-06-1998,21:00,"Stade Vélodrome, Marseille",1998
487,Italy,Chile,2–2,11-06-1998,17:30,"Parc Lescure, Bordeaux",1998
488,Cameroon,Austria,1–1,11-06-1998,21:00,"Stade de Toulouse, Toulouse",1998
489,Chile,Austria,1–1,17-06-1998,17:30,"Stade Geoffroy-Guichard, Saint-Étienne",1998
490,Italy,Cameroon,3–0,17-06-1998,21:00,"Stade de la Mosson, Montpellier",1998
491,Italy,Austria,2–1,23-06-1998,16:00,"Stade de France, Saint-Denis",1998
492,Chile,Cameroon,1–1,23-06-1998,16:00,"Stade de la Beaujoire, Nantes",1998
493,Saudi Arabia,Denmark,0–1,12-06-1998,17:30,"Stade Félix Bollaert, Lens",1998
494,France,South Africa,3–0,12-06-1998,21:00,"Stade Vélodrome, Marseille",1998
495,South Africa,Denmark,1–1,18-06-1998,17:30,"Stade de Toulouse, Toulouse",1998
496,France,Saudi Arabia,4–0,18-06-1998,21:00,"Stade de France, Saint-Denis",1998
497,France,Denmark,2–1,24-06-1998,16:00,"Stade Gerland, Lyon",1998
498,South Africa,Saudi Arabia,2–2,24-06-1998,16:00,"Parc Lescure, Bordeaux",1998
499,Paraguay,Bulgaria,0–0,12-06-1998,14:30,"Stade de la Mosson, Montpellier",1998
500,Spain,Nigeria,2–3,13-06-1998,14:30,"Stade de la Beaujoire, Nantes",1998
501,Nigeria,Bulgaria,1–0,19-06-1998,17:30,"Parc des Princes, Paris",1998
502,Spain,Paraguay,0–0,19-06-1998,21:00,"Stade Geoffroy-Guichard, Saint-Étienne",1998
503,Nigeria,Paraguay,1–3,24-06-1998,21:00,"Stade de Toulouse, Toulouse",1998
504,Spain,Bulgaria,6–1,24-06-1998,21:00,"Stade Félix-Bollaert, Lens",1998
505,South Korea,Mexico,1–3,13-06-1998,17:30,"Stade de Gerland, Lyon",1998
506,Netherlands,Belgium,0–0,13-06-1998,21:00,"Stade de France, Saint-Denis",1998
507,Belgium,Mexico,2–2,20-06-1998,17:30,"Parc Lescure, Bordeaux",1998
508,Netherlands,South Korea,5–0,20-06-1998,21:00,"Stade Vélodrome, Marseille",1998
509,Netherlands,Mexico,2–2,25-06-1998,16:00,"Stade Geoffroy-Guichard, Saint-Étienne",1998
510,Belgium,South Korea,1–1,25-06-1998,16:00,"Parc des Princes, Paris",1998
511,FR Yugoslavia,Iran,1–0,14-06-1998,17:30,"Stade Geoffroy-Guichard, Saint-Étienne",1998
512,Germany,United States,2–0,15-06-1998,21:00,"Parc des Princes, Paris",1998
513,Germany,FR Yugoslavia,2–2,21-06-1998,14:30,"Stade Félix-Bollaert, Lens",1998
514,United States,Iran,1–2,21-06-1998,21:00,"Stade de Gerland, Lyon",1998
515,Germany,Iran,2–0,25-06-1998,21:00,"Stade de la Mosson, Montpellier",1998
516,United States,FR Yugoslavia,0–1,25-06-1998,21:00,"Stade de la Beaujoire, Nantes",1998
517,England,Tunisia,2–0,15-06-1998,14:30,"Stade Vélodrome, Marseille",1998
518,Romania,Colombia,1–0,15-06-1998,17:30,"Stade de Gerland, Lyon",1998
519,Colombia,Tunisia,1–0,22-06-1998,17:30,"Stade de la Mosson, Montpellier",1998
520,Romania,England,2–1,22-06-1998,21:00,"Stade de Toulouse, Toulouse",1998
521,Colombia,England,0–2,26-06-1998,21:00,"Stade Félix-Bollaert, Lens",1998
522,Romania,Tunisia,1–1,26-06-1998,21:00,"Stade de France, Saint-Denis",1998
523,Argentina,Japan,1–0,14-06-1998,14:30,"Stade de Toulouse, Toulouse",1998
524,Jamaica,Croatia,1–3,14-06-1998,21:00,"Stade Félix-Bollaert, Lens",1998
525,Japan,Croatia,0–1,20-06-1998,14:30,"Stade de la Beaujoire, Nantes",1998
526,Argentina,Jamaica,5–0,21-06-1998,17:30,"Parc des Princes, Paris",1998
527,Argentina,Croatia,1–0,26-06-1998,16:00,"Parc Lescure, Bordeaux",1998
528,Japan,Jamaica,1–2,26-06-1998,16:00,"Stade Gerland, Lyon",1998
529,Italy,Norway,1–0,27-06-1998,16:30,"Stade Vélodrome, Marseille",1998
530,Brazil,Chile,4–1,27-06-1998,21:00,"Parc des Princes, Paris",1998
531,France,Paraguay,1–0 (a.e.t./g.g.),28-06-1998,16:30,"Stade Félix-Bollaert, Lens",1998
532,Nigeria,Denmark,1–4,28-06-1998,21:00,"Stade de France, Saint-Denis",1998
533,Germany,Mexico,2–1,29-06-1998,16:30,"Stade de la Mosson, Montpellier",1998
534,Netherlands,FR Yugoslavia,2–1,29-06-1998,21:00,"Stade de Toulouse, Toulouse",1998
535,Romania,Croatia,0–1,30-06-1998,16:30,"Parc Lescure, Bordeaux",1998
536,Argentina,England,2–2 P,30-06-1998,21:00,"Stade Geoffroy-Guichard, Saint-Étienne",1998
537,Italy,France,0–0 P,3-07-1998,16:30,"Stade de France, Saint-Denis",1998
538,Brazil,Denmark,3–2,3-07-1998,21:00,"Stade de la Beaujoire, Nantes",1998
539,Netherlands,Argentina,2–1,4-07-1998,16:30,"Stade Vélodrome, Marseille",1998
540,Germany,Croatia,0–3,4-07-1998,21:00,"Stade de Gerland, Lyon",1998
541,Brazil,Netherlands,1–1 P,7-07-1998,21:00,"Stade Vélodrome, Marseille",1998
542,France,Croatia,2–1,8-07-1998,21:00,"Stade de France, Saint-Denis",1998
543,Netherlands,Croatia,1–2,11-07-1998,21:00,"Parc des Princes, Paris",1998
544,Brazil,France,0–3,12-07-1998,21:00,"Stade de France, Saint-Denis",1998
545,France,Senegal,0–1,31-05-2002,20:30,"Seoul World Cup Stadium, Seoul",2002
546,Uruguay,Denmark,1–2,1-06-2002,18:00,"Munsu Football Stadium, Ulsan",2002
547,Denmark,Senegal,1–1,6-06-2002,15:30,"Daegu World Cup Stadium, Daegu",2002
548,France,Uruguay,0–0,6-06-2002,20:30,"Busan Asiad Main Stadium, Busan",2002
549,Denmark,France,2–0,11-06-2002,15:30,"Incheon World Cup Stadium, Incheon",2002
550,Senegal,Uruguay,3–3,11-06-2002,15:30,"Suwon World Cup Stadium, Suwon",2002
551,Paraguay,South Africa,2–2,2-06-2002,16:30,"Busan Asiad Main Stadium, Busan",2002
552,Spain,Slovenia,3–1,2-06-2002,20:30,"Gwangju World Cup Stadium, Gwangju",2002
553,Spain,Paraguay,3–1,7-06-2002,18:00,"Jeonju World Cup Stadium, Jeonju",2002
554,South Africa,Slovenia,1–0,8-06-2002,15:30,"Daegu World Cup Stadium, Daegu",2002
555,South Africa,Spain,2–3,12-06-2002,20:30,"Daejeon World Cup Stadium, Daejeon",2002
556,Slovenia,Paraguay,1–3,12-06-2002,20:30,"Jeju World Cup Stadium, Seogwipo",2002
557,Brazil,Turkey,2–1,3-06-2002,18:00,"Munsu Football Stadium, Ulsan",2002
558,China,Costa Rica,0–2,4-06-2002,15:30,"Gwangju World Cup Stadium, Gwangju",2002
559,Brazil,China,4–0,8-06-2002,20:30,"Jeju World Cup Stadium, Seogwipo",2002
560,Costa Rica,Turkey,1–1,9-06-2002,18:00,"Incheon World Cup Stadium, Incheon",2002
561,Costa Rica,Brazil,2–5,13-06-2002,15:30,"Suwon World Cup Stadium, Suwon",2002
562,Turkey,China,3–0,13-06-2002,15:30,"Seoul World Cup Stadium, Seoul",2002
563,South Korea,Poland,2–0,4-06-2002,20:30,"Busan Asiad Main Stadium, Busan",2002
564,United States,Portugal,3–2,5-06-2002,18:00,"Suwon World Cup Stadium, Suwon",2002
565,South Korea,United States,1–1,10-06-2002,15:30,"Daegu World Cup Stadium, Daegu",2002
566,Portugal,Poland,4–0,10-06-2002,20:30,"Jeonju World Cup Stadium, Jeonju",2002
567,Portugal,South Korea,0–1,14-06-2002,20:30,"Incheon World Cup Stadium, Incheon",2002
568,Poland,United States,3–1,14-06-2002,20:30,"Daejeon World Cup Stadium, Daejeon",2002
569,Republic of Ireland,Cameroon,1–1,1-06-2002,15:30,"Niigata Stadium, Niigata",2002
570,Germany,Saudi Arabia,8–0,1-06-2002,20:30,"Sapporo Dome, Sapporo",2002
571,Germany,Republic of Ireland,1–1,5-06-2002,20:30,"Kashima Soccer Stadium, Ibaraki",2002
572,Cameroon,Saudi Arabia,1–0,6-06-2002,18:00,"Saitama Stadium, Saitama",2002
573,Cameroon,Germany,0–2,11-06-2002,20:30,"Ecopa Stadium, Shizuoka",2002
574,Saudi Arabia,Republic of Ireland,0–3,11-06-2002,20:30,"International Stadium Yokohama, Yokohama",2002
575,Argentina,Nigeria,1–0,2-06-2002,14:30,"Kashima Soccer Stadium, Ibaraki",2002
576,England,Sweden,1–1,2-06-2002,18:30,"Saitama Stadium, Saitama",2002
577,Sweden,Nigeria,2–1,7-06-2002,15:30,"Wing Stadium, Kobe",2002
578,Argentina,England,0–1,7-06-2002,20:30,"Sapporo Dome, Sapporo",2002
579,Sweden,Argentina,1–1,12-06-2002,15:30,"Miyagi Stadium, Miyagi",2002
580,Nigeria,England,0–0,12-06-2002,15:30,"Nagai Stadium, Osaka",2002
581,Croatia,Mexico,0–1,3-06-2002,15:30,"Niigata Big Swan Stadium, Niigata",2002
582,Italy,Ecuador,2–0,3-06-2002,20:30,"Sapporo Dome, Sapporo",2002
583,Italy,Croatia,1–2,8-06-2002,18:00,"Kashima Soccer Stadium, Ibaraki",2002
584,Mexico,Ecuador,2–1,9-06-2002,15:30,"Miyagi Stadium, Miyagi",2002
585,Mexico,Italy,1–1,13-06-2002,20:30,"Ōita Big Eye Stadium, Ōita",2002
586,Ecuador,Croatia,1–0,13-06-2002,20:30,"International Stadium Yokohama, Yokohama",2002
587,Japan,Belgium,2–2,4-06-2002,18:00,"Saitama Stadium, Saitama",2002
588,Russia,Tunisia,2–0,5-06-2002,15:30,"Kobe Wing Stadium, Kobe",2002
589,Japan,Russia,1–0,9-06-2002,20:30,"International Stadium Yokohama, Yokohama",2002
590,Tunisia,Belgium,1–1,10-06-2002,18:00,"Ōita Big Eye Stadium, Ōita",2002
591,Tunisia,Japan,0–2,14-06-2002,15:30,"Nagai Stadium, Osaka",2002
